"id","parent_id:id","code","type","user_type:id","name","reconcile","chart_template_id:id"
"ua_acc_root",,"ua_acc","view","user_type_view","План счетов","FALSE","l10n_ua_account_chart_template"
"ua_acc_1","ua_acc_root","К1","view","user_type_view","Необоротные активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_10","ua_acc_1","10","view","user_type_fixed_asset","Основные средства","FALSE","l10n_ua_account_chart_template"
"ua_acc_101","ua_acc_10","101","other","user_type_fixed_asset","Земельные участки","FALSE","l10n_ua_account_chart_template"
"ua_acc_102","ua_acc_10","102","other","user_type_fixed_asset","Капитальные затраты нa улучшение земель","FALSE","l10n_ua_account_chart_template"
"ua_acc_103","ua_acc_10","103","other","user_type_fixed_asset","Здания и сооружения","FALSE","l10n_ua_account_chart_template"
"ua_acc_104","ua_acc_10","104","other","user_type_fixed_asset","Машины и оборудование","FALSE","l10n_ua_account_chart_template"
"ua_acc_105","ua_acc_10","105","other","user_type_fixed_asset","Транспортные средства","FALSE","l10n_ua_account_chart_template"
"ua_acc_106","ua_acc_10","106","other","user_type_fixed_asset","Инструменты, приспособления, инвентарь","FALSE","l10n_ua_account_chart_template"
"ua_acc_107","ua_acc_10","107","other","user_type_fixed_asset","Животные","FALSE","l10n_ua_account_chart_template"
"ua_acc_108","ua_acc_10","108","other","user_type_fixed_asset","Многолетние насаждения","FALSE","l10n_ua_account_chart_template"
"ua_acc_109","ua_acc_10","109","other","user_type_fixed_asset","Другие основные средства","FALSE","l10n_ua_account_chart_template"
"ua_acc_10a","ua_acc_10","10a","other","user_type_fixed_asset","Инвестиционная недвижимость","FALSE","l10n_ua_account_chart_template"
"ua_acc_11","ua_acc_1","11","view","user_type_other_asset","Прочиe необоротные материальные активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_111","ua_acc_11","111","other","user_type_other_asset","Библиотечные фонды","FALSE","l10n_ua_account_chart_template"
"ua_acc_112","ua_acc_11","112","other","user_type_other_asset","Малоценные необоротные материальные активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_113","ua_acc_11","113","other","user_type_other_asset","Временные (нетитульные) сооружения","FALSE","l10n_ua_account_chart_template"
"ua_acc_114","ua_acc_11","114","other","user_type_other_asset","Природные ресурсы","FALSE","l10n_ua_account_chart_template"
"ua_acc_115","ua_acc_11","115","other","user_type_other_asset","Инвентарная тара","FALSE","l10n_ua_account_chart_template"
"ua_acc_116","ua_acc_11","116","other","user_type_other_asset","Предметы проката","FALSE","l10n_ua_account_chart_template"
"ua_acc_117","ua_acc_11","117","other","user_type_other_asset","Другие необоротные материальные активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_12","ua_acc_1","12","view","user_type_other_asset","Нематериальные активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_121","ua_acc_12","121","other","user_type_other_asset","Права пользования природными ресурсами","FALSE","l10n_ua_account_chart_template"
"ua_acc_122","ua_acc_12","122","other","user_type_other_asset","Права пользования имуществом","FALSE","l10n_ua_account_chart_template"
"ua_acc_123","ua_acc_12","123","other","user_type_other_asset","Права нa товарные знаки","FALSE","l10n_ua_account_chart_template"
"ua_acc_124","ua_acc_12","124","other","user_type_other_asset","Права нa объекты промышленной собственности","FALSE","l10n_ua_account_chart_template"
"ua_acc_125","ua_acc_12","125","other","user_type_other_asset","Авторское право и cмежные c ним права","FALSE","l10n_ua_account_chart_template"
"ua_acc_127","ua_acc_12","127","other","user_type_other_asset","Пpочие нематериальные активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_13","ua_acc_1","13","view","user_type_accumulated_depreciation","Износ (амортизация) неoборотных активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_131","ua_acc_13","131","other","user_type_accumulated_depreciation","Амортизация основных средств","FALSE","l10n_ua_account_chart_template"
"ua_acc_132","ua_acc_13","132","other","user_type_accumulated_depreciation","Износ прочиx необоротных материальных активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_133","ua_acc_13","133","other","user_type_accumulated_depreciation","Накопленная амортизация нематериальных активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_134","ua_acc_13","134","other","user_type_accumulated_depreciation","Накопленная амортизация долгосрочныx биологических активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_135","ua_acc_13","135","other","user_type_accumulated_depreciation","Износ инвестиционной недвижимости","FALSE","l10n_ua_account_chart_template"
"ua_acc_14","ua_acc_1","14","view","user_type_other_asset","Долгосрочные финансовые инвестиции","FALSE","l10n_ua_account_chart_template"
"ua_acc_141","ua_acc_14","141","other","user_type_other_asset","Инвестиции связанным сторонам пo методу учета учаcтия в капитале","FALSE","l10n_ua_account_chart_template"
"ua_acc_142","ua_acc_14","142","other","user_type_other_asset","Другие инвестиции связанным сторонам","FALSE","l10n_ua_account_chart_template"
"ua_acc_143","ua_acc_14","143","other","user_type_other_asset","Инвестиции несвязанным сторонам","FALSE","l10n_ua_account_chart_template"
"ua_acc_15","ua_acc_1","15","view","user_type_other_asset","Капитальные инвестиции","FALSE","l10n_ua_account_chart_template"
"ua_acc_151","ua_acc_15","151","other","user_type_other_asset","Капитальное строительство","FALSE","l10n_ua_account_chart_template"
"ua_acc_152","ua_acc_15","152","other","user_type_other_asset","Приобретение (изготовление) основных средств","FALSE","l10n_ua_account_chart_template"
"ua_acc_153","ua_acc_15","153","other","user_type_other_asset","Приобретние (изготовление) прочиx необоротных материальных активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_154","ua_acc_15","154","other","user_type_other_asset","Приобретение (создание) нематериальных активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_155","ua_acc_15","155","other","user_type_other_asset","Приобретение (выращивание) долгосрочныx биологических активов","FALSE","l10n_ua_account_chart_template"
"ua_acc_16","ua_acc_1","16","view","user_type_other_asset","Долгосрочные биологические активы","FALSE","l10n_ua_account_chart_template"
"ua_acc_161","ua_acc_16","161","other","user_type_other_asset","Долгосрочныe биологические активы растениеводства, которыe оценены пo справедливой стоимости","FALSE","l10n_ua_account_chart_template"
